id,status,source
Antoon De Veuster,apprentice,
Adriaen Frankien,master,
Adriaen Thielemans,dean,
Laurys Casier,dean,
Ferdinand Colyns,dean,
Carel Faeghe,apprentice,
Jan Baptist Meskens,master,
Francois De Coster,dean,
Francois Reps,dean,
[anonymous] ,dean,
Joris Ringheler,dean,
Thomas Pins,dean,
Jan Timmermans,dean,
Willem Asselman,dean,
Hieronymus Ringheler,dean,
Egidius Jan Schoreels,dean,
Dionysus Van Waeyenbergh,dean,
[NN] Willemont,dean,
Johannes Pletinckx,dean,
Raymandus Ringheler,dean,
Matthys Schoevaert,dean,
Quireyn Van Nuvel,dean,
Hendrick Cortois,dean,
Carel Van Geel,dean,
Peter Joseph Le Fils,dean,
Jan Vaele,dean,
Victor Janssens,dean,
Jan Baptist Maeseler,dean,
Hubert Cosyn,dean,
Reynier Ringheler,dean,
Antoon Van Waeyenbergh,dean,
Hieronymus Breughel,dean,
Egidius Waeyenborch,apprentice,
Johannes Joseph Rottenburch,master,
Bartholomeus Jacobus Van der Hecht,apprentice,
Willem Blommaert,master,
Adriaen De Caron,dean,
Francois Rinke,dean,
Gaspar Van Turnhout,dean,
Philips Mille,dean,
Adriaen De Bie,dean,
Ignatius De Bie,dean,
Francois Tilborgh,apprentice,
Jan Van den Bock,master,
Hendrick Van Brouckhorst,apprentice,
Florentin Serhuyghens,master,
Jan Van den Bosch,apprentice,
Peter Biddigir,master,
Bernard Van Han,apprentice,
Francois De Bargas,dean,
Jan Baptist Noldens,dean,
Augustyn Coppens,dean,
Peter Bettens,master,
Theobald Michau,masters sons,
Peter Le Bron,dean,
Francois Van Bremt,dean,
Francois Boelie,dean,
 Roemart,master,
Jan Foarge,dean,
Hendrick Van Wel,dean,
Jan Van Daele,dean,
Peter Jacobs,dean,
Francois De Nef,dean,
Carel Judocus Raes,dean,
Michiel Van Cutsem,dean,
Paulus Breughel,dean,
Jacob Van der Bought,dean,
Antoon Wenceslas Raymon,dean,
Jacob Happrons,master,
Hendrick Van den Houten,apprentice,
Ignatius De Hondt,master,
Lucas Storck,apprentice,
Judocus Groenins,apprentice,
Hutoun Wermert,master,
Gaspar De Clerck,apprentice,
 Backer,master,
Gillis Bouvin,master,
Francois Van Schoor,apprentice,
Andries Van der Elst,master,
Francois Jacqmin,dean,
Jan Baptist Morels,dean,
Jan Van der Heyden,dean,
Adam Van Divoer,dean,
David De Coninck,apprentice,
Jan Carel Van Dynen,master,
 Van der Cappen,masters sons,
Peter Janssens,master,
Lucas Stock,dean,
Judocus Lamberto,dean,
Francois De Schyn,dean,
Carel De Wit,dean,
 Hermans,dean,
Jan Baptist Van den Broeck,dean,
 Snaghels,master,
Matthys Coint,master,
Ludovicus Schoreels,apprentice,
Hendrick Heretibaudt,master,
Willem Ringheler,master,
 Crick,apprentice,
Herman Pilemans,dean,
Joos Verhasselt,dean,
Francois Quebout,dean,
[NN] Van der Marcken,dean,
Elisabeth Celdrin,dean,
Catharina Van Stichel,dean,
Michiel De Leeuw,dean,
Joseph Hellebosch,dean,
Albert De Backer,dean,
Antoon Barbiers,apprentice,
[NN] Reysbracht,master,
Adriaen Pauwels,dean,
Gerard Bauwens,apprentice,
Carel Jacobs,master,
Simon De Heucht,apprentice,
Jan Van der Belen,master,
[NN] Verheul,dean,
Joseph Laboureur,dean,
Johannes Der Coor,dean,
Jacques Moreau,dean,
Daniel Louis Planchon,dean,
Joos Schutyser,dean,
Jacques Van Rome,apprentice,
Joos Steenarst,master,
Jan Van den Molen,dean,
Jan Baptist Gordyn,masters sons,
Americus De Vreese,apprentice,
Joos Rintvelt,master,
Joris Arys,dean,
Jacques Van Worms,dean,
Gaspar Van den Bemde,dean,
Jan Volsom,master,
Andries Van den Hoecke,master,
Dornaert Ringheler,apprentice,
Wolfaert Wiedemans,master,
Everard Rurinckx,dean,
Philips De Backer,apprentice,
Hendrick De Bontridder,master,
Cornelis Gillis,apprentice,
Peter Gillis,master,
Laurys De Wemer,dean,
Lenard Nagels,apprentice,
Willem Lambillot,master,
Jacques Van den Porten,apprentice,
Michiel De Prins,master,
Jan Baptist Bonnecroy,apprentice,
Francisco Brockin,master,
Jan Vranckx,master,
Lambert De Prins,master,
Peter Hals,master,
Jan De Raet,dean,
Jacques Roddaert,dean,
Gillis Van Auwerkerck,dean,
Willem Van der Elst,master,
David Ringheler,apprentice,
Cornelis Van Empel,dean,
Jacques Artois,dean,
David Sollay,dean,
Francois Ceneville,masters sons,
Joos Van den Tempel,dean,
Jacob De Backer,dean,
Johan Baptist Bersier,dean,
Lambert Van der Biest,apprentice,
Jan Cortvrindt,master,
Carel Alexander Van Geel,master,
Jan Francois Coppens,apprentice,
Brixius Van der Elst,master,
Jan Collaert,master,
Hans Van den Eynde,masters sons,
Willem Van Diest,dean,
Hendrick De Vries,dean,
Peter De Maylder,dean,
Jan Van den Bemde,master,
Jan De Prins,master,
Peter Van Beckberghe,dean,
Jan Van Beckberghe,dean,
Christoffel Merlin,dean,
Peter De Veuster,dean,
Jacob Van Waeyenbergh,dean,
Jacob Van Grimberghen,dean,
Gillis Donckerwolck,apprentice,
Simon Bijean,master,
Jan Marines,apprentice,
Louis Van Schoor,master,
Carel Lottemberg,apprentice,
Rombout De Morge,master,
Philips Van der Vriesen,apprentice,
Godfried Rogaerts,master,
Lanceloot Volders,apprentice,
Egidius Basavechia,master,
Peter Soetemans,dean,
Lanceloot Lefebure,dean,
Herman Bruyens,dean,
Francois Van Froonhoven,dean,
Jacob De Vries,apprentice,
Jan Mertens,master,
Joos Hermans,apprentice,
Peter De Rauw,master,
Christoffel Pauwens,dean,
Bernard Dierdone,apprentice,
Jan De Smedt,master,
Francois De Bacquelerot,apprentice,
Richard Van Orley,master,
Leo Van Heul,apprentice,
 Horick,master,
Michiel De Haese,dean,
Jan Marssche,dean,
Adam Francois Van der Meulen,dean,
Engel Godtsvriendt,apprentice,
[son of] Maerten De Vos,master,
Hans Clement,master,
Jan Mutet,apprentice,
Carel Philips Spierinckx,master,
Willem Marquaet,apprentice,
Jannes Van der Put,master,
Jan Kelders,master,
Jan Goddyn,apprentice,
Willem Lenaerts,dean,
Floris Van Bossuyt,dean,
Francois De Backer,dean,
Joris Donckerwolck,master,
Jan Baptist De Carrion,apprentice,
Philips De Vadder,master,
Quinten Symons,dean,
Jacob Verberghen,dean,
Hans Besoete,dean,
Salomon Noveliers,dean,
Gaspar Picron,dean,
Jan Waelens,dean,
Jacques Domingo,master,
Francois Mossens,master,
Francois Van Volxem,master,
Bernard Van Rampelbergh,master,
Peter Doms,dean,
Jan Bouillon,dean,
Johan Remy Christoffel,dean,
Willem Van Yperseel,dean,
Gelaude Fige,dean,
Jan Caffmeyer,dean,
Nicolaes Van den Schilde,dean,
Peter Hendrickx,dean,
Johannes Francois Le Fils,dean,
Jan De Vos,master,
Jan Baptist Piscador,master,
Alexander Bert,master,
Michiel Van Grouchom,master,
Gaspar Van Noye,master,
Lieven Van den Bosch,apprentice,
Johannes Keelpachter,apprentice,
[widow of] Roeland Heussewiel,master,
Jan Carel Van Bremt,dean,
George Van Lemt,dean,
Hans Vooremans,dean,
Joos Van den Winckel,dean,
Vincent Le Reimenants,master,
Francois Van der Plas,master,
Jan Baptist Maes,master,
