source,source_status,target,target_status,source_entry
Francois Tons,master,Philips De Backer,apprentice,1021614
Francois Tons,master,Philips De Backer,master,1021614
Hendrick De Bontridder,apprentice,Nicolaes Mertens,master,1031616
Cornelis Gillis,master,Jan Gillis,masters sons,01031651A
Cornelis Gillis,master,Peter Gillis,masters sons,01031651B
Engel Van den Bosch,master,Francois Coppens,master,01031651C
Gerard Van Hoochstadt,master,Laurys De Wemer,master,01031651D
Erasmus Crock,master,Lenard Nagels,master,01031651E
Jacques Van den Porten,apprentice,Michiel De Prins,master,1031664
Francisco Brockin,apprentice,Gerard Van Hoochstadt,master,01051650A
Jan Vranckx,apprentice,Lambert De Prins,master,01051650B
Jan Van Velthoven,master,Peter Hals,apprentice,01061613A
Antoon Van den Bossche,apprentice,Cornelis Gillis,master,01061613B
Jacques Roddaert,master,Jan De Raet,apprentice,1061617
Jacques Roddaert,master,Jan De Raet,master,1061617
David Ringheler,master,Willem Van der Elst,apprentice,1071621
Cornelis Van Empel,apprentice,Jacques Artois,master,1071643
David Sollay,apprentice,Jan Van Velthoven,master,1081622
Francois Ceneville,apprentice,Jan Meysens,master,01081637A
Jacob De Backer,master,Joos Van den Tempel,apprentice,01081637B
Jacob De Backer,master,Johan Baptist Bersier,apprentice,1081647
Gerard Van Hoochstadt,master,Lambert Van der Biest,apprentice,1091627
Carel Alexander Van Geel,master,Jan Cortvrindt,apprentice,1091662
Carel Alexander Van Geel,master,Jan Cortvrindt,master,1091662
Brixius Van der Elst,apprentice,Jan Collaert,master,1101609
Hendrick De Vries,master,Willem Van Diest,apprentice,1101615
Jan [b] Raes,master,Peter De Maylder,apprentice,1101666
Carolus Van Baeckegom,apprentice,Thomas Pins,master,1101676
Jan Van den Bemde,apprentice,Jan [b] Raes,dean,1101680
Jan Van den Bemde,apprentice,Jan [b] Raes,master,1101680
Francois Ysenbaut,master,Jan Baptist Maeseler,apprentice,1101681
Hendrick Van Bronckhorst,master,Jan Timmermans,apprentice,1111674
Jan De Prins,apprentice,Joris Ringheler,master,2011663
Jan Van Beckberghe,master,Peter Van Beckberghe,masters sons,2051628
Christoffel Merlin,master,Peter De Veuster,master,02051647A
Jacob Van Waeyenbergh,apprentice,Lambert De Hondt,master,2051682
Adriaen Van Zinnick,master,Jacob Van Grimberghen,apprentice,2061625
Adriaen Van Zinnick,master,Jacob Van Grimberghen,master,2061625
Lucas Achtschellinck,master,Simon Bijean,apprentice,2061676
Carel Lottemberg,apprentice,Louis Van Schoor,master,2071677
Michiel Coolemans,master,Rombout De Morge,apprentice,2071686
Godfried Rogaerts,master,Philips Van der Vriesen,apprentice,2081612
Lanceloot Volders,master,Victor Janssens,apprentice,2091675
Lanceloot Lefebure,master,Peter Soetemans,apprentice,03021629A
Francois Ysenbaut,master,Philips Mille,apprentice,3031675
Jacques Artois,master,Jan Mertens,master,3051634
Jacques Artois,apprentice,Jan Mertens,master,3051634
Joos Hermans,apprentice,Peter De Rauw,master,3051675
Bernard Dierdone,master,Christoffel Pauwens,apprentice,3061617
Jan De Smedt,apprentice,Leo Van Heil,master,3071629
Francois De Bacquelerot,apprentice,Jan De Paege,master,3071641
Jan Van Daele,apprentice,Richard Van Orley,master,3071645
 Horick,apprentice,Jacob Van der Heyden,master,03071690C
Antoon Sallaert,master,Melchior Sallaert,apprentice,3101631
Antoon Sallaert,master,Melchior Sallaert,master,3101631
Jan Baptist Van Heil,master,Jan Marssche,apprentice,3101651
Adam Francois Van der Meulen,master,Thomas Pins,apprentice,3101661
Jan Van Velthoven,master,[son of] Maerten De Vos,master,3111610
Bernard Dierdone,master,Jan Mutet,apprentice,3111614
Willem Marquaet,apprentice,Wolfaert Wiedemans,master,03111643A
Jannes Van der Put,apprentice,Steven Stekeldoore,master,03111643B
Jan Kelders,apprentice,Steven Stekeldoore,master,3111666
Jan Goddyn,apprentice,Willem Lenaerts,master,3111668
Floris Van Bossuyt,apprentice,Francois De Backer,master,4011612
Joris Donckerwolck,master,Severyn Diertyts,apprentice,4011624
Joris Donckerwolck,master,Severyn Diertyts,master,4011624
Jan Baptist De Carrion,apprentice,Philips Van der Elst,master,4011647
Peter Noveliers,master,Quinten Symons,apprentice,04021614A
Peter Noveliers,master,Quinten Symons,master,04021614A
Carel Herssel,master,David Noveliers,master,04021614B
Carel Herssel,apprentice,David Noveliers,master,04021614B
Gillis Claessens,master,Jacob Verberghen,apprentice,04021614C
Gillis Claessens,master,Jacob Verberghen,master,04021614C
Jan Noveliers,master,Peter Noveliers,master,04021614D
Jan Noveliers,apprentice,Peter Noveliers,master,04021614D
Hans Besoete,master,Jan Baptist Grondone,master,04021614E
Hans Besoete,apprentice,Jan Baptist Grondone,master,04021614E
Peter Noveliers,master,Salomon Noveliers,masters sons,04021614F
Gaspar De Craeyer,master,Gaspar Picron,apprentice,4021624
Jan Waelens,apprentice,Peter Van der Borcht,master,04021631A
Francois Mossens,master,Jacques Domingo,apprentice,04021631B
Francois Van Volxem,apprentice,Gillis Claessens,master,4041609
Bernard Van Rampelbergh,apprentice,Michiel De Haese,master,4051614
Jan Bouillon,master,Peter Doms,apprentice,4051623
Johan Remy Christoffel,apprentice,Willem Van Yperseel,master,4051628
Antoon Sallaert,master,Gelaude Fige,apprentice,4051650
Jan Caffmeyer,apprentice,Michiel Coolemans,master,4051667
Lucas Achtschellinck,master,Peter Hendrickx,apprentice,04051681B
David Noveliers,master,Jan De Vos,apprentice,4061616
David Noveliers,master,Jan De Vos,master,4061616
Alexander Bert,master,Jan Baptist Piscador,apprentice,4061620
Gaspar Van Noye,apprentice,Peter Van Orley,master,4081693
Jan De Kemp,master,Lieven Van den Bosch,apprentice,4091614
Johannes Keelpachter,apprentice,[widow of] Roeland Heussewiel,master,4091624
George Van Lemt,apprentice,Hans Vooremans,master,4111603
Joris Ringheler,master,Peter De Rauw,apprentice,4111669
Joris Ringheler,master,Peter De Rauw,master,4111669
Vincent Le Reimenants,master,Willem Van Graenenbroeck,apprentice,4121610
Vincent Le Reimenants,master,Willem Van Graenenbroeck,master,4121610
Jan Baptist Maes,apprentice,Jan [b] Raes,master,5011676
Hendrick Van den Steen,master,Jan Baptist Maes,apprentice,5011676
Hendrick Van den Steen,master,Jan [b] Raes,master,5011676
Jacob Van der Heyden,master,Joseph Laboureur,apprentice,5011691
Antoon Steps,apprentice,Peter Coppens,master,05021629A
Abraham Sdrooghen,apprentice,Jan Van Waelant,master,05021629B
Jacques Faydherbe,master,Louis Catalyn,apprentice,05021629C
Arnold Van Overstraeten,apprentice,Peter Busset,master,5021630
Jan Lenaerts,apprentice,Joos Van Craesbeeck,master,5021653
Daniel Vaillant,masters sons,Gerard Van Hoochstadt,master,05031651A
Daniel Vaillant,masters sons,Jan Vaillant,master,05031651A
Gerard Van Hoochstadt,master,Jan Vaillant,master,05031651A
Gillis Claessens,master,Jan Baptist Claessens,masters sons,05031651B
Engel Van den Bosch,master,Joos Van den Bossche,masters sons,05031651C
Daniel Van Heil,master,Louis De Vleeshouwer,master,05031651E
Adam Francois Van der Meulen,master,Peter Snayers,master,05031651F
Adam Francois Van der Meulen,apprentice,Peter Snayers,master,05031651F
Joos Baptist Willeman,master,Philips Machobeus,master,5041606
Claude Rosel,apprentice,Michiel Van Werckhoven,master,05041619A
Gerard Van Hoochstadt,master,Germeyn Somers,apprentice,05041619B
Jan Baptist De Coninck,apprentice,Servaes Coels,master,5041623
Joris Donckerwolck,master,Maximiliaen Van der Elst,apprentice,5051620
Joris Donckerwolck,master,Maximiliaen Van der Elst,master,5051620
Andries Broeckmans,apprentice,Thomas Pins,master,5051678
Bastiaen Van Assche,apprentice,Elias Geeraerts,master,5061620
Lucas De Kemp,master,Peter Cempen,apprentice,5061626
Jacob Van den Dries,apprentice,Jan Van Daele,master,5061640
Antoon Van Opstal,master,Thomas Cortinck,apprentice,5061652
Gillis Van Tilborgh,master,Jan Van der Bruggen,apprentice,5061662
Jan Van Velthoven,master,Peter De Clerck,apprentice,5071621
Elias Geeraerts,master,Jan Geeraerts,masters sons,05071640A
Francois Raventarie,apprentice,Jan Van Bronckhorst,master,05071640B
Daniel Van Heil,masters sons,Leo Van Heil,master,05081627B
Abraham Van Avont,apprentice,Nicolaes Artois,master,05081648A
Adriaen Van den Broeck,master,Gaspar De Craeyer,master,05081648B
Adriaen Goerries,apprentice,Jan Bauwens,master,05091616A
Jan Trippaert,master,Raphael Van Arssen,apprentice,05091616B
Jan Bauwens,master,Willem Geeraerts,apprentice,5101611
Francois Tons,master,Hans Goddaert,apprentice,5111602
Erasmus Lysmont,apprentice,Severyn De Kegel,master,05111620A
David Noveliers,master,Nicolaes Bertreyn,apprentice,06011640A
David Noveliers,master,Nicolaes Bertreyn,master,06011640A
Jacques Faydherbe,master,Jan Van Daele,apprentice,06011640B
Jacques Faydherbe,master,Jan Van Daele,master,06011640B
Jacques Van Worms,masters sons,Willem Van Worms,master,06021610A
Hendrick Rota,apprentice,Michiel Geeraerts,master,06021610B
Francois Thierlinckx,apprentice,Lanceloot Volders,master,6021663
Francois Van der Borcht,apprentice,Lenard Wauwermans,master,6041620
Cornelis Gillis,apprentice,Jacques Roddaert,master,06051603B
Carel De Kemp,master,Nicolaes Crick,apprentice,6051616
Hendrick Kegelaer,apprentice,Jan Mattheus,master,6051622
Carel Ignatius Van Eefbergh,apprentice,Peter [b] Van Gindertaelen,master,6051662
Jan Van Bronckhorst,master,Michiel Benoot,apprentice,6061606
Lenard Wauwermans,master,Severyn De Kegel,apprentice,06061613A
Huybrecht De Vadder,apprentice,Philips De Vadder,master,06061613B
Francois De Clerck,apprentice,Jan De Moralis,master,6061619
Nicolaes Van den Hecke,master,Willem Van Wede,apprentice,6061623
Nicolaes Van den Hecke,master,Willem Van Wede,master,6061623
Ambrosius ,apprentice,Charles Wautier,master,06071661A
Peter Capuyns,apprentice,Peter Meerts,master,06071661B
Antoon Van Opstal,master,Jacques Nyts,apprentice,6081631
Gaspar Levens,apprentice,Jan Baptist Grondone,master,6101612
Hans Van den Eynde,master,Jan Baptist De Wolf,apprentice,6101621
Otto Van Veen,master,Romeyn Sanglier,apprentice,6111624
Gaspar Van Anderhaeghen,apprentice,Jan Jacobs,master,6111653
Antoon Van Opstal,master,Jan Meysens,apprentice,7021629
Alexander Vermeulen,apprentice,Godfried Allaert,master,7051626
Nicolaes Yperseel,apprentice,Wolfaert Wiedemans,master,07051640A
Jan Ringheler,master,Johan Bourguignon,apprentice,07051640B
Francois Ysenbaut,dean,Philips Reyniers,dean,7051675
Francois Van Dipeldal,master,Nicolaes Geraes,apprentice,7061607
Fernand Bert,master,Jacques Van Severpel,apprentice,7061613
Philips Van der Elst,master,Robert Maltum,apprentice,7061640
Gillis Sandes,apprentice,Wolfaert Wiedemans,master,7061661
Cornelis Jacobs,masters sons,Wouter Jacobs,master,7071631
Francois Morren,master,Lucas De Kemp,master,7071646
Baptist Eghets,apprentice,Hendrick De Vries,master,07081613A
Jan Doms,apprentice,Michiel Hardies,master,07081613B
Nicolaes Van Yperseel,apprentice,Willem Van Worms,master,7081614
Francois Mossens,master,Jan Trippaert,master,7081618
Francois Mossens,apprentice,Jan Trippaert,master,7081618
Adam Ditman,master,Jan Moenne,apprentice,7081627
Jan Hubert,apprentice,Joris Storm,master,07101610A
Francois Van den Couter,apprentice,Wouter Janssens,master,07101610B
Hendrick Lierinck,apprentice,Jan [b] Raes,master,7101664
Jan Baptist Torel,apprentice,Leo Van Heil,master,7111639
Jan Gotemans,master,Joris Vylant,master,07121613A
Michiel Geeraerts,master,Willem Van den Eynde,apprentice,07121613B
Joos De Neck,master,Lucas De Kemp,master,07121647B
Jan Van Rillaert,masters sons,Nicolaes Van Rillaert,master,8011614
Daniel Van Heil,master,Peter Hellinck,master,8011657
Antoon Van Opstal,master,Jan De Haese,apprentice,8021634
Jan Odeyn,master,Roeland Van der Schaemp,apprentice,8031641
Jacques Triccot,apprentice,Jan Van den Bosch,master,8031673
Lanceloot Volders,apprentice,Peter [b] Van Gindertaelen,master,8041650
Hieronymus Van Orley,master,Peter Coppens,apprentice,8051603
Bernard Dierdone,apprentice,Jan Van der Vinne,master,08051607A
Francois Laureys,apprentice,Michiel De Bordeaux,master,08051607B
Carel De Swert,master,Thomas Verhasselt,apprentice,8051681
Augustyn De Boeck,master,Michiel De Bordeaux,master,08061606A
Jacob Hanebal,master,Michiel Hardies,master,08061606B
Augustyn De Boeck,master,Peter Laseer,apprentice,8061617
Jan Ordas,apprentice,Nicolaes Tassaert,master,8061618
Jacques Du Fay,master,Jan Odeyn,master,08071639A
Jan Meysens,master,Michiel De Sainneville,apprentice,08071639B
Jan Meysens,master,Michiel De Sainneville,master,08071639B
Jan Meysens,master,Simon Lemmens,apprentice,08071639C
Francois Van Froonhoven,apprentice,Lenard Wauwermans,master,08071640A
Jacques Loots,apprentice,Nicolaes Schinckels,master,08071640B
Jacques Faydherbe,master,Philips Ernest Pelgrin,apprentice,08071640C
Francois Dervau,apprentice,Nicolaes Bertreyn,master,08071640D
Francois Le Grand,apprentice,Jan De Paege,master,08071643A
Jacob Van Grimberghen,master,Jean Le Corbisier,apprentice,08071643B
Andries Peter Du Bael,apprentice,Lucas Achtschellinck,master,8071661
Gillis Van Tilborgh,master,Jan Marines,apprentice,8071665
Augustyn Van der Keersen,apprentice,Francois Van den Bemde,master,8071679
Passchier Luppens,apprentice,Philips Van Bentem,master,8081606
Godfried Rogaerts,master,Reynier Meganck,apprentice,8081618
Peter Busset,master,Peter Noveliers,master,8081624
Peter Busset,apprentice,Peter Noveliers,master,8081624
Joos De Neck,apprentice,Lucas De Kemp,master,8121639
Francois Verbelen,master,Lucas Waeykarts,apprentice,9021623
Francois Verbelen,master,Lucas Waeykarts,master,9021623
Jacques Antoon De Meester,apprentice,Lanceloot Lefebure,master,9031627
Nicolaes Schinckels,apprentice,Philips Van der Elst,master,9031630
David Noveliers,master,Peter Van Gindertaelen,apprentice,9041627
Jacques Roddaert,master,Jan De Raet,apprentice,9061612
Angelus De Clerck,master,Jan Meetens,apprentice,9061631
Gelaude Munier,apprentice,Jan Van Velthoven,master,09061636A
Engel Van den Bosch,master,Jan Goriels,apprentice,09061636B
Carel Van den Steen,master,Maerten Coeruchant,apprentice,09061636C
Cornelis Van Bronckhorst,master,Jan Gillissone,apprentice,09061636D
Gaerele Van Bonter,apprentice,Jacques De Fayter,master,9071609
Jacques Faydherbe,master,Jan Van Daele,apprentice,9071621
Louis De Peuter,apprentice,Louis Van den Pleyne,master,9081607
Gratiaen De Meester,apprentice,Jacob De Vries,master,9091609
Jacob De Vries,master,Jan Van Aelst,apprentice,09091619A
Jan De Duyts,master,Maerten Van der Venne,apprentice,09091619B
Jan De Duyts,master,Maerten Van der Venne,master,09091619B
Dirick Janssens,master,Nicolaes Van Bogarden,apprentice,9101615
David Noveliers,masters sons,Peter Noveliers,master,9111610
Hieronymus Fluffens,master,Jan De Roy,apprentice,9111628
Francois De Roota,apprentice,Godfried Allaert,master,9111629
Jacob Marchant,apprentice,Peter Van Orley,master,09111692A
Peter De Vulder,apprentice,Peter Lambillot,master,09111692B
Nicolaes Sibrecht,apprentice,Peter Noveliers,master,9121614
Jan Van Bronckhorst,master,Michiel Benoot,apprentice,09121614A
Jan Van Bronckhorst,master,Michiel Benoot,master,09121614A
Jan Welcher,apprentice,Philips Britseels,master,09121614B
Peter Busset,master,Theodoor Manteau,apprentice,9121639
Hans Monckernet,apprentice,Maximiliaen De Groete,master,10011605
Hendrick De Vries,master,Jan Fremont,apprentice,10011614
Hendrick De Vries,master,Jan Fremont,master,10011614
Jacques Artois,apprentice,Jan Mertens,master,10011625
Fernand Bert,master,Jacob Van Seulper,apprentice,10011626
Fernand Bert,master,Jacob Van Seulper,master,10011626
Hendrick De Clerck,master,Jacques De Clerck,masters sons,10011634A
Gelaude Cannaut,apprentice,Ignatius Van der Stock,master,10011661
Cornelis Gillis,master,Jacques Roddaert,master,10021608
Adriaen Rombouts,apprentice,Joos Van Craesbeeck,master,10021653
Ignatius De Backer,apprentice,Jan Baptist Van Heil,master,10021663
Augustyn De Joncker,apprentice,Laurys Van Rossum,master,10021682
Augustyn Requerant,apprentice,Michiel De Bordeaux,master,10031603
Carel De Kemp,masters sons,Lucas De Kemp,master,10031608A
Hendrick Leuvens,master,Jacques Van der Laemen,apprentice,10031616
Hendrick Leuvens,master,Jacques Van der Laemen,master,10031616
Albert De Ruyt,apprentice,Melchior De la Marche,master,10031627
Antoon Leson,apprentice,Michiel Benoot,master,10031637
Adriaen Baudewyns,apprentice,Adriaen Francois Baudewyns,master,10031694
Michiel De Bordeaux,master,Pierre Eusache,apprentice,10051612
Balthasar Leshayeer,apprentice,Godfried Allaert,master,10051638
Hieronymus Fluffens,master,Philips De Craen,apprentice,10051639
Maria De Waeyer,master,Philips Van der Baeren,apprentice,10051640
Jacob De Backer,master,Jan De Sanghere,apprentice,10051645A
Jan Van Vollesom,apprentice,Peter Van der Plas,master,10051645B
Hans De Smedt,apprentice,Jan Van Berlaghe,master,10061609B
Cornelis Gillis,master,Hans Van Kelegem,apprentice,10061609C
Carel Lottemberg,apprentice,Willem Van Schoor,master,10061676A
Carolus Van Baeckegom,apprentice,Thomas Pins,master,10061676B
Jan Noveliers,apprentice,Peter Noveliers,master,10071605
Hans Van Overstraeten,master,Hendrick De Clerck,master,10071611
Jacques Faydherbe,master,Jan Happaert,apprentice,10071640
Antoon Van den Hecke,apprentice,Peter Snayers,master,10071649
Antoon Van den Bossche,master,Gillis Bossuyt,apprentice,10071662
Carel De Swert,master,Denys Chounre,apprentice,10071671
Francois De Godts,master,Gerard Van Serpenbergh,apprentice,10081617
Philips Britseels,master,Philips Pickaert,apprentice,10081636
Cornelis De Pooter,apprentice,Jan Jacobs,master,10081653
Matthys Schers,apprentice,Michiel De Noye,master,10101607
Adam Ditman,apprentice,Hendrick De Vries,master,10101609
Cornelis Kerckjans,master,Jacob Hanebal,master,10101627
Cornelis Kerckjans,apprentice,Jacob Hanebal,master,10101627
Joos Dirckx,apprentice,Nicolaes Artois,master,10101653
Hendrick Van Bronckhorst,master,Johannes Maes,apprentice,10111665
Francois Reydams,apprentice,Jan Arys,master,10111666A
Matthys Van den Bosch,master,Nicolaes Van den Schilde,apprentice,10111668
Huybrecht Van Waeyenbergh,master,Jan Van Gindertaelen,apprentice,10111682
Adriaen Francois Baudewyns,dean,Huybrecht Van Waeyenbergh,master,10111682
Adriaen Francois Baudewyns,dean,Jan Van Gindertaelen,apprentice,10111682
Jan De Potter,apprentice,Jan Mattheus,master,10121614
Jan Battelier,apprentice,Philips Britseels,master,10121618
Francois Matthysens,master,Willem Van Liefde,apprentice,10121630
Jan Baptist Herquiau,apprentice,Jan De Vos,master,11011634
Francois Reps,master,Philips Reps,apprentice,11011694
Francois Reps,master,Philips Reps,apprentice,11011694
Charles De Croy,apprentice,Gaspar De Craeyer,master,11021647
Cornelis Kerckjans,master,Jacob De Peuter,apprentice,11031645
Antoon Van Berenbroeck,master,Lanceloot Lefebure,master,11041623
Antoon Van Berenbroeck,apprentice,Lanceloot Lefebure,master,11041623
Daniel Van Heil,master,Louis De Vleeshouwer,apprentice,11061643
Jan Bouillon,master,Simon Hardies,apprentice,11081609
Antoon Van der Meren,masters sons,Bartholomeus Van der Meren,master,11091599A
Hans Van Bentem,masters sons,Philips Van Bentem,master,11091599B
Jan Mertens,masters sons,Nicolaes Mertens,master,11091599C
Gaspar Boerchhet,apprentice,Michiel Hardies,master,11091606
Ambrosius Van der Wienrien,apprentice,Michiel De Bordeaux,master,11101602
Jacques Van Worms,master,Willem Van Beyeren,master,11101640
Peter Van der Vecken,master,Willem Lesterbos,apprentice,11111640A
Peter Van der Vecken,master,Willem Lesterbos,master,11111640A
Jacques Artois,master,Nicolaes Artois,master,11111640B
Erasmus Crock,master,Nicolaes Michels,apprentice,11111666
Jan Van Cottem,apprentice,Lucas De Kemp,master,11121640
Francois De Backer,apprentice,Peter Van Conincxloo,master,12011605
Francois De Backer,master,Peter Van Conincxloo,master,12011605
Joos Van Dooren,apprentice,Leo Van Heil,master,12011631
Geleyn Van Dooren,master,Joos Van Dooren,apprentice,12011631
Geleyn Van Dooren,master,Leo Van Heil,master,12011631
Jan Van der Borcht,apprentice,Severyn De Kegel,master,12011641
Peter Beser,apprentice,Peter Noveliers,master,12031616
David Noveliers,master,Francois De Gruyter,apprentice,12031620
David Noveliers,master,Francois De Gruyter,master,12031620
Antoon Van Opstal,master,Peter Francois Carega,master,12031641B
Jacques Faydherbe,master,Peter Van Gindertaelen,master,12031641C
Maximiliaen Van der Elst,master,Willem Lauwers,master,12031641D
Alexander Bert,master,Jan Baptist Piscador,master,12031641E
Antoon Van Beveren,master,Jacques Wauters,master,12031651
Erasmus Crock,master,Willem Niemans,apprentice,12041663
Jacques Van Worms,master,Willem Van Beyeren,apprentice,12051610
Everard Rurinckx,master,Lucas Van der Straeten,apprentice,12051640
Gillis Van der Nieuwerstadt,apprentice,Peter [b] Van Gindertaelen,master,12051660
Jan Claerbodts,apprentice,Jan Mattheus,master,12061608A
Francois Tons,master,Philips De Backer,apprentice,12061608B
Jacques Van Worms,master,Jan Arys,apprentice,12061631
Cornelis Van den Dries,apprentice,Jan Geeraerts,master,12061643A
Jan Claessens,apprentice,Louis De Vadder,master,12061643B
Peter Coppens,master,Willem Moreau,apprentice,12061643C
Nicolaes De Smedt,master,Peter Van der Plas,master,12061645B
Carel Alexander Van Geel,master,Jan Van Velthoven,master,12061645C
David Noveliers,master,Salomon Noveliers,masters sons,12061645D
Alexander Levens,apprentice,Peter Noveliers,master,12071608
Jan Gerard Du Chateau,apprentice,Jan Meysens,master,12071640
Jacob Van Haettem,apprentice,Lucas Achtschellinck,master,12071683
Jan Van Daele,master,Nicolaes Pletinckx,apprentice,12071686
Dirick Caussens,apprentice,Jacques Roddaert,master,12081609
Cesar Hermans,apprentice,Willem Van Schoor,master,12081653A
Jacques Artois,master,Peter Van Waetom,apprentice,12081653B
Godfried Allaert,master,Peter Philips Kavelleer,apprentice,12081653C
Peter De Backer,master,Philips Boellon,apprentice,12081653D
Jan Bousou,apprentice,Jan Raes,master,12081661A
Bartholomeus Philipsens,master,Jan Peneuner,apprentice,12081661B
Willem Commys,apprentice,Wolfaert Wiedemans,master,12081661C
Angelus De Clerck,master,Jan Laurys De Brye,apprentice,12091629
Gillis Penninckx,apprentice,Lenard Wauwermans,master,12091640
Denys Van Alsloot,master,Sennyn Van Eyck,apprentice,12101603
Jacques Regaets,master,Michiel Peres,apprentice,12101613A
Carel Montien,apprentice,Servaes Coels,master,12101613B
Joos De Vriendt,apprentice,Lucas Claessens,master,12101613C
Lanceloot Lefebure,master,Pierre Tassot,apprentice,12101620
Jacob Mememans,apprentice,Lenard Wauwermans,master,12101623
Gillis Bouvin,apprentice,Jan Schoreels,master,12101689
Michiel De Noye,master,Philips Van Bentem,master,12111605
Jan De Roy,master,Servaes Coels,master,12111620
Jan De Roy,apprentice,Servaes Coels,master,12111620
David Ringheler,master,Jan De Prie,apprentice,12121612
Maximiliaen Van der Elst,master,Willem Lauwers,apprentice,13011630
Engel Van den Bosch,master,Francois Coppens,apprentice,13011639A
Antoon Van der Keersen,apprentice,Peter Van Capenborcht,master,13011639B
Erasmus Crock,master,Peter De Winter,apprentice,13011693
Francois Verbelen,master,Jan Verbelen,apprentice,13021603
Antoon Van der Meren,master,Godfried Allaert,apprentice,13021610
Carel Van der Gucht,apprentice,Jan De Paege,master,13021617A
Gillis Claessens,master,Louis Cousin,apprentice,13021617B
Pangras Beeneken,apprentice,Peter Coppens,master,13021618
Jacob De Backer,master,Willem Klaret,apprentice,13021651
Francois Verbelen,master,Lucas Waeykarts,apprentice,13031608
Gillis Van Blayenbergh,master,Lanceloot Lefebure,master,13051633
Gillis Van Blayenbergh,apprentice,Lanceloot Lefebure,master,13051633
Daniel Van Schoor,master,Francois Morren,apprentice,13051643
Peter Schalie,master,Philips Schalie,masters sons,13051650
Jacques Van Overstraeten,apprentice,Willem Van Worms,master,13061608
Antoon Symons,apprentice,Jan Bauwens,master,13061643A
Peter Nys,apprentice,Peter Van Gindertaelen,master,13061643B
Daniel De la Fontaine,apprentice,Jan Van Velthoven,master,13071632
Jacob Godsvriendt,apprentice,Willem Van den Eynde,master,13071634
Jacob Godsvriendt,master,Willem Van den Eynde,master,13071634
Cornelis Gillis,master,Laurys Van Andris,apprentice,13071682
Adriaen Francois Baudewyns,master,Peter ,apprentice,13071686
Antoon Van der Meren,master,Hans Van den Eynde,apprentice,13081608A
Fernand Van den Velde,apprentice,Jan Baptist Grondone,master,13081608B
Jan Van der Vliet,apprentice,Philips Van der Elst,master,13081635A
Antoon Fransman,apprentice,Antoon Van Beveren,master,13081635B
Louis Van den Pleyne,master,Nicolaes Van Nevele,master,13101604
Florentin Collineau,apprentice,Philips Britseels,master,13101611
Cornelis Van Empel,apprentice,Jacques Artois,master,13101662
Cornelis Van Empel,master,Jacques Artois,master,13101662
Antoon Van Beveren,master,Jacques Wauters,apprentice,13111646A
Jacob Coremans,apprentice,Peter Meerts,master,13111646B
Antoon Van Opstal,master,Cornelis Goosens,apprentice,13111646C
Francois Raes,apprentice,Jan Cortois,master,13111660A
Francois Pauwels,apprentice,Jan Raes,master,13111660B
Eduaert Sanderlin,apprentice,Peter Snayers,master,13111660C
Francois Ysenbaut,master,Jacques Baptist Blocheau,apprentice,13111660D
Bernard De Wevere,apprentice,Willem Van Graenenbroeck,master,13121611
Gillis Van Waeyenbergh,apprentice,Lucas De Kemp,master,13121634A
Jacob Van Grimberghen,master,Jan De Post,apprentice,13121634B
Fernand Bert,master,Lanceloot Jacobs,apprentice,14011604
Joris Donckerwolck,master,Maximiliaen Van der Elst,apprentice,14011612
Gaspar Van Vellhen,apprentice,Jacques Roddaert,master,14011617
Jan Meysens,master,Michiel De Sainneville,apprentice,14011636
Antoon Sallaert,master,Bartholomeus Dandelot,apprentice,14021617
Jacques Artois,master,Jan Baptist Fabri,apprentice,14031646
Gillis Claessens,master,Vincent Muchet,apprentice,14041605
Antoon Sallaert,apprentice,Michiel De Bordeaux,master,14041606A
Raphael Coxie,master,Wouter Janssens,apprentice,14041606B
Joris Storm,master,Lenard Verbruggen,apprentice,14041620A
Joris Storm,master,Lenard Verbruggen,master,14041620A
Peter Marckan,apprentice,Theodoor Sony,master,14041620B
Jan De Sony,master,Theodoor Sony,apprentice,14041620C
Jan De Sony,master,Theodoor Sony,master,14041620C
Jacques Francquart,master,Jan De Sony,master,14041620C
Jacques Francquart,master,Theodoor Sony,apprentice,14041620C
Jacques Francquart,master,Theodoor Sony,master,14041620C
Johannes Medard Van der Meren,apprentice,Maximiliaen Van der Elst,master,14041632B
Antoon Sapien,apprentice,Joos Van den Winckel,master,14041633A
Jan Uytenhoeven,apprentice,Lucas De Kemp,master,14041633B
Jan De Molder,apprentice,Jan Odeyn,master,14051643
Simon Francois Baudewyns,apprentice,[widow of] Croeystens,master,14061644
Jan Gillet,apprentice,Jan Van Opstal,master,14081653
Charles Wautier,master,Francois Volsom,apprentice,14081664
Gabriel Van den Eynde,apprentice,Philips Britseels,master,14101608
Joris Donckerwolck,master,Severyn Diertyts,apprentice,14101615
Jacob Godsvriendt,apprentice,Willem Van den Eynde,master,14101625A
Antoon Van Opstal,master,Jan Daret,apprentice,14101625B
Hendrick De Vries,master,Jan Marco,master,14111610
Jan Van der Sanden,apprentice,Peter Coppens,master,14111632A
Charles Daret,apprentice,Gerard Van Hoochstadt,master,14111632B
Jan Ballais,apprentice,Peter Van der Borcht,master,14111644
Lenard Wauwermans,master,Michiel De Haese,apprentice,14121601
Hendrick De Vries,master,Willem Van Immerseel,apprentice,15011616
Denys Van Alsloot,master,Peter Van der Borcht,apprentice,15011625
